Island number,Island name,Other Names,Province,Kabupaten,Kecamatan,Coordinate Degree,Coordinate Decimal,PPK URL
4315,Amben,"",DI YOGYAKARTA,Kab. GUNUNG KIDUL,"","","-8.196388888888889,110.75888888888889",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/4315
4316,Baron,"",DI YOGYAKARTA,Kab. GUNUNG KIDUL,"","","-8.203333333333333,110.81972222222223",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/4316
4317,Drini,"",DI YOGYAKARTA,Kab. GUNUNG KIDUL,"","","-8.139249999999999,110.57808333333332",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/4317
4318,Godeg,"",DI YOGYAKARTA,Kab. GUNUNG KIDUL,"","","-8.197777777777778,110.80222222222221",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/4318
4319,Gununggandul,"",DI YOGYAKARTA,Kab. GUNUNG KIDUL,"","","-8.196388888888889,110.76472222222222",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/4319
4320,Gunungsemar,"",DI YOGYAKARTA,Kab. GUNUNG KIDUL,"","","-8.041361111111112,110.34766666666667",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/4320
4321,Jumpino,"",DI YOGYAKARTA,Kab. GUNUNG KIDUL,"","","-8.134444444444444,110.55536111111111",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/4321
4322,Jungwok,"",DI YOGYAKARTA,Kab. GUNUNG KIDUL,"","","-8.194444444444445,110.70694444444445",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/4322
4323,Kalong,"",DI YOGYAKARTA,Kab. GUNUNG KIDUL,"","","-8.186944444444444,110.70027777777779",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/4323
4324,Krokoh,"",DI YOGYAKARTA,Kab. GUNUNG KIDUL,"","","-8.205555555555556,110.82638888888889",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/4324
4325,Lawang,"",DI YOGYAKARTA,Kab. GUNUNG KIDUL,"","","-8.138055555555555,110.57583333333334",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/4325
4326,Layar,"",DI YOGYAKARTA,Kab. GUNUNG KIDUL,"","","-8.202777777777778,110.82444444444444",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/4326
4327,Ngondo,"",DI YOGYAKARTA,Kab. GUNUNG KIDUL,"","","-8.180027777777777,110.67183333333334",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/4327
4328,Ngrawe,"",DI YOGYAKARTA,Kab. GUNUNG KIDUL,"","","-8.133888888888889,110.55380555555556",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/4328
4329,Ngusalan,"",DI YOGYAKARTA,Kab. GUNUNG KIDUL,"","","-8.2,110.7063888888889",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/4329
4330,Payung,"",DI YOGYAKARTA,Kab. GUNUNG KIDUL,"","","-8.08013888888889,110.40402777777778",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/4330
4331,Timang,"",DI YOGYAKARTA,Kab. GUNUNG KIDUL,"","","-8.177444444444443,110.66255555555556",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/4331
4332,Watubebek,"",DI YOGYAKARTA,Kab. GUNUNG KIDUL,"","","-8.182694444444444,110.68183333333334",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/4332
4333,Watugrek,"",DI YOGYAKARTA,Kab. GUNUNG KIDUL,"","","-8.196388888888889,110.76277777777777",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/4333
4334,WatulawangPulau,"",DI YOGYAKARTA,Kab. GUNUNG KIDUL,"","","-8.147722222222221,110.60477777777777",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/4334
4335,Watunganten Kidul,"",DI YOGYAKARTA,Kab. GUNUNG KIDUL,"","","-8.1875,110.68",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/4335
4336,Watunganten Lor,"",DI YOGYAKARTA,Kab. GUNUNG KIDUL,"","","-8.186944444444444,110.68",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/4336
4337,Watunglambor,"",DI YOGYAKARTA,Kab. GUNUNG KIDUL,"","","-8.183333333333334,110.67894444444445",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/4337
4338,Watupanjang,"",DI YOGYAKARTA,Kab. GUNUNG KIDUL,"","","-8.184444444444445,110.67841666666668",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/4338
4339,Watupayung Siratan,"",DI YOGYAKARTA,Kab. GUNUNG KIDUL,"","","-8.145555555555555,110.57666666666667",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/4339
4340,Watupayung Siung,"",DI YOGYAKARTA,Kab. GUNUNG KIDUL,"","","-8.185277777777777,110.67680555555556",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/4340
4341,Watutogog,"",DI YOGYAKARTA,Kab. GUNUNG KIDUL,"","","-8.185277777777777,110.68805555555556",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/4341
4342,Watutopi,"",DI YOGYAKARTA,Kab. GUNUNG KIDUL,"","","-8.196666666666667,110.70611111111111",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/4342
