Island number,Island name,Other Names,Province,Kabupaten,Kecamatan,Coordinate Degree,Coordinate Decimal
4266,Batukolotok ,"",JAWA BARAT,KOTA TASIKMALAYA,"","","-7.816787777777778,108.29850527777778"
4263,Karangganjor,"",JAWA BARAT,Kab. GARUT,"","","-7.738985555555556,107.90667194444445"
4258,Karanghantu,"",JAWA BARAT,Kab. SUKABUMI,"","","-7.2087225,106.38135555555554"
4261,Manuk,"",JAWA BARAT,Kab. SUKABUMI,"","","-7.184135833333333,106.44253388888889"
4274,Sebrotan,"",JAWA BARAT,Kab. CIAMIS,"","","-7.788611111111111,108.50027777777778"
4272,Batupayung,"",JAWA BARAT,Kab. CIAMIS,"","","-7.775541666666666,108.50639777777778"
4273,Manggar,"",JAWA BARAT,Kab. CIAMIS,"","","-7.7881527777777775,108.50107222222222"
4269,Balekambang,"",JAWA BARAT,Kab. CIAMIS,"","","-7.782771111111111,108.50312694444445"
440,NUSAMANUK,"",JAWA BARAT,Kab. TASIKMALAYA,CIKALONG,"","-7.819999999999999,-107.67750000000001"
4270,Batununggul,"",JAWA BARAT,Kab. CIAMIS,"","","-7.75401,108.50656055555555"
4257,Gotor,"",JAWA BARAT,Kab. SUKABUMI,"","","-7.186443333333334,106.41772694444445"
4275,Sodonggede,"",JAWA BARAT,Kab. CIAMIS,"","","-7.793888055555556,108.49664972222223"
4264,Karangkakapak,"",JAWA BARAT,Kab. GARUT,"","","-7.740277777777778,107.91944444444445"
4279,Gosongtengah,"",JAWA BARAT,Kab. INDRAMAYU,"","","-5.861618333333333,108.40484583333334"
4260,Mandra,"",JAWA BARAT,Kab. SUKABUMI,"","","-7.181388888888889,106.44677972222223"
4271,Batupayung Leutik,"",JAWA BARAT,Kab. CIAMIS,"","","-7.775284444444444,108.50609388888888"
4278,Candikian,"",JAWA BARAT,Kab. INDRAMAYU,"","","-5.8026816666666665,108.43902166666668"
4259,Kunti,"",JAWA BARAT,Kab. SUKABUMI,"","","-7.184099444444445,106.43456861111112"
4277,Biawak,"",JAWA BARAT,Kab. INDRAMAYU,"","","-5.929722222222223,108.38"
